,Fall,Major Name,Male,Female
652,1983,HU DEV&FAM,5,23
653,1983,History,47,26
654,1983,Horticulture,33,23
655,1983,INST MGMT,1,8
656,1983,INT DSGN,9,154
657,1983,Industrial Agriculture,50,11
658,1983,Industrial Design,52,51
659,1983,Industrial Engineering,102,52
660,1983,Italian,1,4
661,1983,Journalism,23,25
662,1983,Kinesiology,132,104
663,1983,LAB&IN REL,39,31
664,1983,LAS TCH MATH,0,2
665,1983,Landscape Architecture,93,49
666,1983,Law,449,226
667,1983,Leisure Studies,18,26
668,1983,Library & Information Science,45,138
669,1983,Linguistics,34,48
670,1983,MARKETING,85,111
671,1983,METAL ENGR,153,32
672,1983,MKT TEXT&A,4,137
673,1983,MOTOR DEV,0,11
674,1983,MOTOR P&SP,6,5
675,1983,MUS-VOICE,14,34
676,1983,MUSIC-COMP,8,2
677,1983,MUSIC-INST,41,52
678,1983,MUSIC-OPEN,1,0
679,1983,Mathematics,142,39
680,1983,Mechanical Agriculture,37,0
681,1983,Mechanical Engineering,789,78
682,1983,Microbiology,37,30
683,1983,Molecular & Integrative Physi,38,18
684,1983,Music,110,100
685,1983,Music Education,112,139
686,1983,Music History,1,4
687,1983,News-Editorial,67,81
688,1983,Nuclear Engineering,138,10
689,1983,Nutritional Sciences,12,29
690,1983,ORN HORT,32,49
691,1983,OUTDR REC,17,24
692,1983,PERFORM ST,13,10
693,1983,PHYS ED,0,1
694,1983,PLANT PATH,28,11
695,1983,PRE-JOURN,77,150
696,1983,PRE-MED,71,66
697,1983,PROG MANAG,43,64
698,1983,PUB ADMIN,14,6
699,1983,Philosophy,32,6
700,1983,Physics,340,30
701,1983,Plant Biology,16,11
702,1983,Political Science,23,8
703,1983,Professional Pilot,14,1
704,1983,Psychology,91,91
705,1983,REST MGMT,28,29
706,1983,SCH HEALTH,1,3
707,1983,SOC SCI SP,8,2
708,1983,SOCIAL SCI,2,2
709,1983,SOIL SCI,1,1
710,1983,SP CORRECT,1,0
711,1983,Secondary Education,9,19
712,1983,Slavic Languages & Literature,6,14
713,1983,Social Work,57,216
714,1983,Sociology,23,21
715,1983,Spanish,9,27
716,1983,Special Education,11,79
717,1983,Speech & Hearing Science,8,123
718,1983,Speech Communication,23,24
719,1983,Statistics,12,4
720,1983,TCH BIOL,6,14
721,1983,TCH CS,2,2
722,1983,TCH ENGL,19,40
723,1983,TCH GEN SCIENCE,4,5
724,1983,TCH KINES,2,1
725,1983,TCH LIFE SCI,2,4
726,1983,TCH PHYS SCI,2,0
727,1983,TCH RUSS,0,1
728,1983,TCH SOC ST,25,15
729,1983,TCH SPEECH,2,6
730,1983,TECH ED SP,32,19
731,1983,TEXT-APPRL,1,27
732,1983,THER REC,11,80
733,1983,Teaching of Biological Science,1,0
734,1983,Teaching of Chemistry,3,3
735,1983,Teaching of Earth Science,0,1
736,1983,Teaching of English Sec Lang,21,56
737,1983,Teaching of French,4,19
738,1983,Teaching of German,2,4
739,1983,Teaching of Latin,1,3
740,1983,Teaching of Mathematics,9,22
741,1983,Teaching of Physics,0,1
742,1983,Teaching of Spanish,2,21
743,1983,Theatre,83,65
744,1983,Theoretical & Applied Mechans,42,4
745,1983,UG NON-DEG,11,17
746,1983,UNASSIGNED,315,397
747,1983,UNCLASS,97,143
748,1983,Urban Planning,82,61
749,1983,VMS - Veterinary Biosciences,22,10
750,1983,VMS - Veterinary Pathobiology,21,17
751,1983,VMS-Veterinary Clinical Medcne,8,4
752,1983,VOC H E ED,0,19
753,1983,Veterinary Medical Science,2,1
754,1983,Veterinary Medicine,181,146
755,1984,Accountancy,648,667
756,1984,Advertising,78,179
757,1984,Aero & Astro Engineering,445,50
758,1984,Agr & Environmental Cmc & Educ,3,2
759,1984,Agricultural & Applied Econ,367,77
760,1984,Agricultural Communications,28,51
761,1984,Agricultural Education,12,2
762,1984,Agricultural Engineering,153,9
763,1984,Agricultural Sciences,43,23
764,1984,Agronomy,149,39
765,1984,Air Systems,79,11
766,1984,Animal Sciences,218,246
767,1984,Anthropology,32,27
768,1984,Application Design,1,17
769,1984,Architectural Studies,415,166
770,1984,Architecture,171,40
771,1984,Art Education,19,45
772,1984,Art History,19,51
773,1984,Art and Design,186,217
774,1984,Asian Studies,6,11
775,1984,Astronomy,16,2
776,1984,Atmospheric Sciences,16,6
777,1984,Avionics,10,1
778,1984,BIOCH,70,44
779,1984,BUS EDUC,11,23
780,1984,Biochemistry,64,30
781,1984,Biology,120,114
782,1984,Biophysics & Computnl Biology,22,7
783,1984,Broadcast Journalism,14,27
784,1984,Business Administration,511,456
785,1984,CER ENGR,117,39
786,1984,CONSM ECON,4,17
787,1984,CORE CURR,80,35
788,1984,CUR INST 2,6,19
789,1984,CUR INST#1,4,1
790,1984,CUR INST#3,6,4
791,1984,Chemical Engineering,365,114
792,1984,Chemical Physics,5,1
793,1984,Chemistry,394,143
794,1984,Civil Engineering,469,83
795,1984,Classical Philology,8,3
